mei 25,2023 15:05 INFO  Garmin track summary version : 0.6.4.0 (IDE 2023-05-25 15:05:57.881713800) garminSummary.main.Main ; createAndShowGUI
mei 25,2023 15:06 INFO Log folder: D:\Users\René\OneDrive\Documenten garminSummary.gui.GUILayout$2 ; actionPerformed
mei 25,2023 15:06 INFO Process GPX-File: D:\Users\René\OneDrive\Documenten\Auto\Garmin\Tracks\2023\Archive\362.gpx with content of 8 tracks. library.Summary ; TripsSummary
mei 25,2023 15:06 INFO {"place_id":25207310,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2716758980,"lat":"52.1709093","lon":"5.453685","display_name":"13, van Dedemlaan, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 TD, Nederland","address":{"house_number":"13","road":"van Dedemlaan","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 TD","country_code":"nl"},"boundingbox":["52.1708593","52.1709593","5.453635","5.453735"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":25207310,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2716758980,"lat":"52.1709093","lon":"5.453685","display_name":"13, van Dedemlaan, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 TD, Nederland","address":{"house_number":"13","road":"van Dedemlaan","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 TD","country_code":"nl"},"boundingbox":["52.1708593","52.1709593","5.453635","5.453735"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":175798336,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":274432730,"lat":"51.8866938","lon":"4.551528573445623","display_name":"Meerweide, Grote Hagen, Groenenhagen-Tuinenhoven, Groot-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3078 RA, Nederland","address":{"building":"Meerweide","road":"Grote Hagen","neighbourhood":"Groenenhagen-Tuinenhoven","quarter":"Groot-IJsselmonde","suburb":"IJsselmonde","city":"Rotterdam","municipality":"Rotterdam","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"3078 RA","country_code":"nl"},"boundingbox":["51.8861967","51.8871982","4.5501708","4.5524557"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":175798336,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":274432730,"lat":"51.8866938","lon":"4.551528573445623","display_name":"Meerweide, Grote Hagen, Groenenhagen-Tuinenhoven, Groot-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3078 RA, Nederland","address":{"building":"Meerweide","road":"Grote Hagen","neighbourhood":"Groenenhagen-Tuinenhoven","quarter":"Groot-IJsselmonde","suburb":"IJsselmonde","city":"Rotterdam","municipality":"Rotterdam","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"3078 RA","country_code":"nl"},"boundingbox":["51.8861967","51.8871982","4.5501708","4.5524557"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":29042555,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2791476705,"lat":"51.8896444","lon":"4.5522623","display_name":"305, Groene tuin, Groenenhagen-Tuinenhoven, Groot-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3078 KG, Nederland","address":{"house_number":"305","road":"Groene tuin","neighbourhood":"Groenenhagen-Tuinenhoven","quarter":"Groot-IJsselmonde","suburb":"IJsselmonde","city":"Rotterdam","municipality":"Rotterdam","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"3078 KG","country_code":"nl"},"boundingbox":["51.8895944","51.8896944","4.5522123","4.5523123"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":29042555,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2791476705,"lat":"51.8896444","lon":"4.5522623","display_name":"305, Groene tuin, Groenenhagen-Tuinenhoven, Groot-IJsselmonde, IJsselmonde, Rotterdam, Zuid-Holland, Nederland, 3078 KG, Nederland","address":{"house_number":"305","road":"Groene tuin","neighbourhood":"Groenenhagen-Tuinenhoven","quarter":"Groot-IJsselmonde","suburb":"IJsselmonde","city":"Rotterdam","municipality":"Rotterdam","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"3078 KG","country_code":"nl"},"boundingbox":["51.8895944","51.8896944","4.5522123","4.5523123"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":137636720,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":126730189,"lat":"51.965795678975205","lon":"4.586501985729431","display_name":"Rijksweg A20, Nieuwerkerk aan den IJssel, Zuidplas, Zuid-Holland, Nederland, 2913 LW, Nederland","address":{"road":"Rijksweg A20","town":"Nieuwerkerk aan den IJssel","municipality":"Zuidplas","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"2913 LW","country_code":"nl"},"boundingbox":["51.9651897","51.9685212","4.5851127","4.5932398"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":137636720,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":126730189,"lat":"51.965795678975205","lon":"4.586501985729431","display_name":"Rijksweg A20, Nieuwerkerk aan den IJssel, Zuidplas, Zuid-Holland, Nederland, 2913 LW, Nederland","address":{"road":"Rijksweg A20","town":"Nieuwerkerk aan den IJssel","municipality":"Zuidplas","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"2913 LW","country_code":"nl"},"boundingbox":["51.9651897","51.9685212","4.5851127","4.5932398"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":133119017,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":109231344,"lat":"51.97356143537573","lon":"4.605681580113831","display_name":"Rijksweg A20, Nieuwerkerk aan den IJssel, Zuidplas, Zuid-Holland, Nederland, 2913 LZ, Nederland","address":{"road":"Rijksweg A20","town":"Nieuwerkerk aan den IJssel","municipality":"Zuidplas","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"2913 LZ","country_code":"nl"},"boundingbox":["51.9699442","51.9785616","4.5971553","4.6158292"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":133119017,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":109231344,"lat":"51.97356143537573","lon":"4.605681580113831","display_name":"Rijksweg A20, Nieuwerkerk aan den IJssel, Zuidplas, Zuid-Holland, Nederland, 2913 LZ, Nederland","address":{"road":"Rijksweg A20","town":"Nieuwerkerk aan den IJssel","municipality":"Zuidplas","state":"Zuid-Holland","ISO3166-2-lvl4":"NL-ZH","country":"Nederland","postcode":"2913 LZ","country_code":"nl"},"boundingbox":["51.9699442","51.9785616","4.5971553","4.6158292"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":25207310,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2716758980,"lat":"52.1709093","lon":"5.453685","display_name":"13, van Dedemlaan, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 TD, Nederland","address":{"house_number":"13","road":"van Dedemlaan","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 TD","country_code":"nl"},"boundingbox":["52.1708593","52.1709593","5.453635","5.453735"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":25207310,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2716758980,"lat":"52.1709093","lon":"5.453685","display_name":"13, van Dedemlaan, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 TD, Nederland","address":{"house_number":"13","road":"van Dedemlaan","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 TD","country_code":"nl"},"boundingbox":["52.1708593","52.1709593","5.453635","5.453735"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":142657110,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":148378362,"lat":"52.1728686179791","lon":"5.446226688749933","display_name":"Koninginneweg, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 BX, Nederland","address":{"road":"Koninginneweg","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 BX","country_code":"nl"},"boundingbox":["52.1706393","52.173752","5.4452794","5.4492324"]} library.NominatimAPI ; getJSON
mei 25,2023 15:06 INFO json:'{"place_id":142657110,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"way","osm_id":148378362,"lat":"52.1728686179791","lon":"5.446226688749933","display_name":"Koninginneweg, Hoevelaken, Nijkerk, Gelderland, Nederland, 3871 BX, Nederland","address":{"road":"Koninginneweg","town":"Hoevelaken","municipality":"Nijkerk","state":"Gelderland","ISO3166-2-lvl4":"NL-GE","country":"Nederland","postcode":"3871 BX","country_code":"nl"},"boundingbox":["52.1706393","52.173752","5.4452794","5.4492324"]}' library.Address ; <init>
mei 25,2023 15:06 INFO lod:18 library.Address ; <init>
mei 25,2023 15:06 INFO {"place_id":33467360,"licence":"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright","osm_type":"node","osm_id":2878680268,"lat":"52.0673015","lon":"5.2060859","display_name":"7, Prinses Margrietstraat, Bunnik, Utrecht, Nederland, 3981 BE, Nederland","address":{"house_number":"7","road":"Prinses Margrietstraat","village":"Bunnik","municipality":"Bunnik","state":"Utrecht","ISO3166-2-lvl4":"NL-UT","country":"Nederland","postcode":"3981 BE","country_code":"nl"},"boundingbox":["52.0672515","52.0673515","5.2060359","5.2061359"]} library.NominatimAPI ; getJSON
